"audio_id","file_name","source_path","target_path","category","status","notes"
"audio_0105","06.mp3","BUX2\sound\unsorted\06.mp3","Assets\BUX\_Review\NeedsRename\Audio\06.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0106","07.mp3","BUX2\sound\unsorted\07.mp3","Assets\BUX\_Review\NeedsRename\Audio\07.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0107","08.mp3","BUX2\sound\unsorted\08.mp3","Assets\BUX\_Review\NeedsRename\Audio\08.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0108","09.mp3","BUX2\sound\unsorted\09.mp3","Assets\BUX\_Review\NeedsRename\Audio\09.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0109","10.mp3","BUX2\sound\unsorted\10.mp3","Assets\BUX\_Review\NeedsRename\Audio\10.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0110","11.mp3","BUX2\sound\unsorted\11.mp3","Assets\BUX\_Review\NeedsRename\Audio\11.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0111","12.mp3","BUX2\sound\unsorted\12.mp3","Assets\BUX\_Review\NeedsRename\Audio\12.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0112","13.mp3","BUX2\sound\unsorted\13.mp3","Assets\BUX\_Review\NeedsRename\Audio\13.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0113","14.mp3","BUX2\sound\unsorted\14.mp3","Assets\BUX\_Review\NeedsRename\Audio\14.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0114","15. Short Premium Mobile Puzzle Game Victory Stinger. Cozy Magical Forest Sty.mp3","BUX2\sound\unsorted\15. Short Premium Mobile Puzzle Game Victory Stinger. Cozy Magical Forest Sty.mp3","Assets\BUX\_Review\NeedsRename\Audio\15. Short Premium Mobile Puzzle Game Victory Stinger. Cozy Magical Forest Sty.mp3","Review/NeedsRename/Audio","copied","Audio filename did not match a confident production rule"
"audio_0130","31.mp3","BUX2\sound\unsorted\31.mp3","Assets\BUX\_Review\NeedsRename\Audio\31.mp3","Review/NeedsRename/Audio","copied","Numbered or unclear audio filename"
"audio_0100","01. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","BUX2\sound\unsorted\01. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Assets\BUX\Audio\Ambience\01. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0055","01_forest_day_ambience.mp3","BUX2\sound\renamed_suno_sounds\01_forest_day_ambience.mp3","Assets\BUX\Audio\Ambience\01_forest_day_ambience.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0101","02. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","BUX2\sound\unsorted\02. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Assets\BUX\Audio\Ambience\02. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0056","02_forest_evening_ambience.mp3","BUX2\sound\renamed_suno_sounds\02_forest_evening_ambience.mp3","Assets\BUX\Audio\Ambience\02_forest_evening_ambience.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0102","03. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","BUX2\sound\unsorted\03. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Assets\BUX\Audio\Ambience\03. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0057","03_magic_clearing_ambience.mp3","BUX2\sound\renamed_suno_sounds\03_magic_clearing_ambience.mp3","Assets\BUX\Audio\Ambience\03_magic_clearing_ambience.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0103","04. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","BUX2\sound\unsorted\04. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Assets\BUX\Audio\Ambience\04. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0058","04_honey_hills_ambience.mp3","BUX2\sound\renamed_suno_sounds\04_honey_hills_ambience.mp3","Assets\BUX\Audio\Ambience\04_honey_hills_ambience.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0104","05. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","BUX2\sound\unsorted\05. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Assets\BUX\Audio\Ambience\05. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0059","05_bear_village_ambience.mp3","BUX2\sound\renamed_suno_sounds\05_bear_village_ambience.mp3","Assets\BUX\Audio\Ambience\05_bear_village_ambience.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0133","34. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","BUX2\sound\unsorted\34. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Assets\BUX\Audio\Ambience\34. Seamless Ambient Loop For A Cozy Magical Forest Mobile Match-3 Puzzle Gam.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0088","34_forest_ambience_duplicate.mp3","BUX2\sound\renamed_suno_sounds\34_forest_ambience_duplicate.mp3","Assets\BUX\Audio\Ambience\34_forest_ambience_duplicate.mp3","Audio/Ambience","copied","Matched ambience keyword"
"audio_0060","06_main_menu_music.mp3","BUX2\sound\renamed_suno_sounds\06_main_menu_music.mp3","Assets\BUX\Audio\Music\06_main_menu_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0061","07_gameplay_calm_music.mp3","BUX2\sound\renamed_suno_sounds\07_gameplay_calm_music.mp3","Assets\BUX\Audio\Music\07_gameplay_calm_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0062","08_gameplay_challenge_music.mp3","BUX2\sound\renamed_suno_sounds\08_gameplay_challenge_music.mp3","Assets\BUX\Audio\Music\08_gameplay_challenge_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0063","09_low_moves_music.mp3","BUX2\sound\renamed_suno_sounds\09_low_moves_music.mp3","Assets\BUX\Audio\Music\09_low_moves_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0064","10_level_map_music.mp3","BUX2\sound\renamed_suno_sounds\10_level_map_music.mp3","Assets\BUX\Audio\Music\10_level_map_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0065","11_bear_village_music.mp3","BUX2\sound\renamed_suno_sounds\11_bear_village_music.mp3","Assets\BUX\Audio\Music\11_bear_village_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0066","12_wardrobe_music.mp3","BUX2\sound\renamed_suno_sounds\12_wardrobe_music.mp3","Assets\BUX\Audio\Music\12_wardrobe_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0067","13_friend_challenge_music.mp3","BUX2\sound\renamed_suno_sounds\13_friend_challenge_music.mp3","Assets\BUX\Audio\Music\13_friend_challenge_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0068","14_honey_harvest_music.mp3","BUX2\sound\renamed_suno_sounds\14_honey_harvest_music.mp3","Assets\BUX\Audio\Music\14_honey_harvest_music.mp3","Audio/Music","copied","Matched music keyword"
"audio_0085","31_main_menu_music_duplicate.mp3","BUX2\sound\renamed_suno_sounds\31_main_menu_music_duplicate.mp3","Assets\BUX\Audio\Music\31_main_menu_music_duplicate.mp3","Audio/Music","copied","Matched music keyword"
"audio_0131","32. Loopable Calm Gameplay Music For A Cozy Magical Forest Match-3 Puzzle Gam.mp3","BUX2\sound\unsorted\32. Loopable Calm Gameplay Music For A Cozy Magical Forest Match-3 Puzzle Gam.mp3","Assets\BUX\Audio\Music\32. Loopable Calm Gameplay Music For A Cozy Magical Forest Match-3 Puzzle Gam.mp3","Audio/Music","copied","Matched music keyword"
"audio_0086","32_gameplay_calm_music_duplicate.mp3","BUX2\sound\renamed_suno_sounds\32_gameplay_calm_music_duplicate.mp3","Assets\BUX\Audio\Music\32_gameplay_calm_music_duplicate.mp3","Audio/Music","copied","Matched music keyword"
"audio_0132","33. Loopable Level Map Music For A Cozy Magical Forest Match-3 Puzzle Game. A.mp3","BUX2\sound\unsorted\33. Loopable Level Map Music For A Cozy Magical Forest Match-3 Puzzle Game. A.mp3","Assets\BUX\Audio\Music\33. Loopable Level Map Music For A Cozy Magical Forest Match-3 Puzzle Game. A.mp3","Audio/Music","copied","Matched music keyword"
"audio_0087","33_level_map_music_duplicate.mp3","BUX2\sound\renamed_suno_sounds\33_level_map_music_duplicate.mp3","Assets\BUX\Audio\Music\33_level_map_music_duplicate.mp3","Audio/Music","copied","Matched music keyword"
"audio_0032","Covered Moss Crack. Create A Covered Moss Crack Sound, Soft Thick Vegetation.mp3","BUX2\sound\Blockers\Covered Moss Crack. Create A Covered Moss Crack Sound, Soft Thick Vegetation.mp3","Assets\BUX\Audio\SFX\Blockers\Covered Moss Crack. Create A Covered Moss Crack Sound, Soft Thick Vegetation.mp3","Audio/SFX/Blockers","copied","Matched blocker keyword"
"audio_0033","Covered Moss Layer Removed. Create A Covered Moss Layer Removal Sound, Thick.mp3","BUX2\sound\Blockers\Covered Moss Layer Removed. Create A Covered Moss Layer Removal Sound, Thick.mp3","Assets\BUX\Audio\SFX\Blockers\Covered Moss Layer Removed. Create A Covered Moss Layer Removal Sound, Thick.mp3","Audio/SFX/Blockers","copied","Matched blocker keyword"
"audio_0034","Ice Break. Create An Ice Blocker Break Sound, Delicate Ice Shards Cracking An.mp3","BUX2\sound\Blockers\Ice Break. Create An Ice Blocker Break Sound, Delicate Ice Shards Cracking An.mp3","Assets\BUX\Audio\SFX\Blockers\Ice Break. Create An Ice Blocker Break Sound, Delicate Ice Shards Cracking An.mp3","Audio/SFX/Blockers","copied","Matched blocker keyword"
"audio_0035","Ice Hit. Create An Ice Blocker Hit Sound For A Cozy Puzzle Game, Light Crysta.mp3","BUX2\sound\Blockers\Ice Hit. Create An Ice Blocker Hit Sound For A Cozy Puzzle Game, Light Crysta.mp3","Assets\BUX\Audio\SFX\Blockers\Ice Hit. Create An Ice Blocker Hit Sound For A Cozy Puzzle Game, Light Crysta.mp3","Audio/SFX/Blockers","copied","Matched blocker keyword"
"audio_0036","Pebble Break. Create A Pebble Blocker Break Sound, Small Stone Crack And Crum.mp3","BUX2\sound\Blockers\Pebble Break. Create A Pebble Blocker Break Sound, Small Stone Crack And Crum.mp3","Assets\BUX\Audio\SFX\Blockers\Pebble Break. Create A Pebble Blocker Break Sound, Small Stone Crack And Crum.mp3","Audio/SFX/Blockers","copied","Matched blocker keyword"
"audio_0037","Pebble Hit. Create A Pebble Blocker Hit Sound, Small Rounded Stone Impact Wit.mp3","BUX2\sound\Blockers\Pebble Hit. Create A Pebble Blocker Hit Sound, Small Rounded Stone Impact Wit.mp3","Assets\BUX\Audio\SFX\Blockers\Pebble Hit. Create A Pebble Blocker Hit Sound, Small Rounded Stone Impact Wit.mp3","Audio/SFX/Blockers","copied","Matched blocker keyword"
"audio_0038","Vine Cut. Create A Vine Blocker Cut Sound, Soft Plant Fiber Snap With Leafy R.mp3","BUX2\sound\Blockers\Vine Cut. Create A Vine Blocker Cut Sound, Soft Plant Fiber Snap With Leafy R.mp3","Assets\BUX\Audio\SFX\Blockers\Vine Cut. Create A Vine Blocker Cut Sound, Soft Plant Fiber Snap With Leafy R.mp3","Audio/SFX/Blockers","copied","Matched blocker keyword"
