"asset_id","file_name","source_path","target_path","category","status","notes"
"asset_0066","blocker_stone_cracked_01.png","BUX2\renamed_matched_assets\blocker_stone_cracked_01.png","Assets\BUX\_Review\Duplicates\blocker_stone_cracked_01.png","Review/Duplicates","copied","Stone blocker variant preserved as duplicate; blocker_pebble_* is canonical"
"asset_0067","blocker_stone_cracked_02.png","BUX2\renamed_matched_assets\blocker_stone_cracked_02.png","Assets\BUX\_Review\Duplicates\blocker_stone_cracked_02.png","Review/Duplicates","copied","Stone blocker variant preserved as duplicate; blocker_pebble_* is canonical"
"asset_0068","blocker_stone_full.png","BUX2\renamed_matched_assets\blocker_stone_full.png","Assets\BUX\_Review\Duplicates\blocker_stone_full.png","Review/Duplicates","copied","Stone blocker variant preserved as duplicate; blocker_pebble_* is canonical"
"asset_0119","bear_head_tile.png","BUX2\renamed_unsorted3_assets\bear_head_tile.png","Assets\BUX\_Review\Duplicates\BUX2__renamed_unsorted3_assets\bear_head_tile.png","Review/Duplicates","copied","Duplicate source preserved. Canonical target: Assets\BUX\Art\Tiles\Core\bear_head_tile.png"
"asset_0017","Cbear1.png","BUX2\renamed_unsorted3_assets\Cbear1.png","Assets\BUX\_Review\Duplicates\BUX2__renamed_unsorted3_assets\Cbear1.png","Review/Duplicates","copied","Duplicate source preserved. Canonical target: Assets\BUX\Art\Companion\Bear\Base\Cbear1.png"
"asset_0089","companion_bear_base.png","BUX2\renamed_unsorted3_assets\companion_bear_base.png","Assets\BUX\_Review\Duplicates\BUX2__renamed_unsorted3_assets\companion_bear_base.png","Review/Duplicates","copied","Duplicate source preserved. Canonical target: Assets\BUX\Art\Companion\Bear\Base\companion_bear_base.png"
"asset_0009","BOARD.zip","BUX2\BOARD.zip","Assets\BUX\_Review\Unsorted\BOARD.zip","Review/Unsorted","copied","Non-art package artifact preserved for review"
"asset_0012","BUX_Puzzle_Full_Production_Spec_Aegis_Enhanced.zip","BUX2\BUX_Puzzle_Full_Production_Spec_Aegis_Enhanced.zip","Assets\BUX\_Review\Unsorted\BUX_Puzzle_Full_Production_Spec_Aegis_Enhanced.zip","Review/Unsorted","copied","Non-art package artifact preserved for review"
"asset_0013","BUX_Puzzle_Full_Production_Spec_Filled.zip","BUX2\BUX_Puzzle_Full_Production_Spec_Filled.zip","Assets\BUX\_Review\Unsorted\BUX_Puzzle_Full_Production_Spec_Filled.zip","Review/Unsorted","copied","Non-art package artifact preserved for review"
"asset_0259","Gemini_Generated_Image_ (1).png","BUX2\sound\unsorted6\Gemini_Generated_Image_ (1).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (1).png","Review/Unsorted","copied","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0307","Gemini_Generated_Image_ (1).png","BUX2\unsorted\Gemini_Generated_Image_ (1).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (1)__conflict_1.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0354","Gemini_Generated_Image_ (1).png","BUX2\unsorted\unsorted ny\Gemini_Generated_Image_ (1).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (1)__conflict_2.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0375","Gemini_Generated_Image_ (1).png","BUX2\unsorted3\Gemini_Generated_Image_ (1).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (1)__conflict_3.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0424","Gemini_Generated_Image_ (1).png","BUX2\unsorted4\Gemini_Generated_Image_ (1).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (1)__conflict_4.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0439","Gemini_Generated_Image_ (1).png","BUX2\unsorted4\unsorted5\Gemini_Generated_Image_ (1).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (1)__conflict_5.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0260","Gemini_Generated_Image_ (10).png","BUX2\sound\unsorted6\Gemini_Generated_Image_ (10).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (10).png","Review/Unsorted","copied","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0308","Gemini_Generated_Image_ (10).png","BUX2\unsorted\Gemini_Generated_Image_ (10).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (10)__conflict_1.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0355","Gemini_Generated_Image_ (10).png","BUX2\unsorted\unsorted ny\Gemini_Generated_Image_ (10).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (10)__conflict_2.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0376","Gemini_Generated_Image_ (10).png","BUX2\unsorted3\Gemini_Generated_Image_ (10).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (10)__conflict_3.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0425","Gemini_Generated_Image_ (10).png","BUX2\unsorted4\Gemini_Generated_Image_ (10).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (10)__conflict_4.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0440","Gemini_Generated_Image_ (10).png","BUX2\unsorted4\unsorted5\Gemini_Generated_Image_ (10).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (10)__conflict_5.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0261","Gemini_Generated_Image_ (11).png","BUX2\sound\unsorted6\Gemini_Generated_Image_ (11).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (11).png","Review/Unsorted","copied","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0309","Gemini_Generated_Image_ (11).png","BUX2\unsorted\Gemini_Generated_Image_ (11).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (11)__conflict_1.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0356","Gemini_Generated_Image_ (11).png","BUX2\unsorted\unsorted ny\Gemini_Generated_Image_ (11).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (11)__conflict_2.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
"asset_0377","Gemini_Generated_Image_ (11).png","BUX2\unsorted3\Gemini_Generated_Image_ (11).png","Assets\BUX\_Review\Unsorted\Gemini_Generated_Image_ (11)__conflict_3.png","Review/Unsorted","conflict_copied_unique","Generated/contact-sheet/unclear PNG preserved for review"
