id,filename,sound_name,category,unity_folder,duration_seconds,requested_duration,loop,prompt,status,notes
001,button_tap,Button tap,UI / menyer,UI,0.5,under 0.3 seconds,false,"Button tap. Create a very short mobile game UI button tap sound, cozy magical forest style, soft wooden click mixed with tiny bubble pop, warm and polished, not harsh, no music, no vocals, under 0.3 seconds.",todo,"Original requested under 0.3 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
002,disabled_button,Disabled button,UI / menyer,UI,0.5,under 0.4 seconds,false,"Disabled button. Create a short disabled button sound for a cozy forest puzzle game, soft muted wooden tap with gentle low thud, friendly and non-punishing, no harsh error sound, no music, under 0.4 seconds.",todo,"Original requested under 0.4 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
003,popup_open,Popup open,UI / menyer,UI,0.7,under 0.7 seconds,false,"Popup open. Create a short popup opening sound for a cozy magical forest mobile puzzle game, soft airy whoosh with tiny sparkles, warm and premium, friendly UI feedback, no vocals, under 0.7 seconds.",todo,
004,popup_close,Popup close,UI / menyer,UI,0.5,under 0.5 seconds,false,"Popup close. Create a short popup close sound, soft reverse whoosh with tiny wooden click, cozy forest puzzle game style, clean and polished, no harshness, under 0.5 seconds.",todo,
005,confirmation,Confirmation,UI / menyer,UI,0.6,under 0.6 seconds,false,"Confirmation. Create a short positive confirmation sound for a cozy mobile puzzle game, gentle bell chime mixed with soft sparkle, warm, satisfying, not too magical, no vocals, under 0.6 seconds.",todo,
006,cancel,Cancel,UI / menyer,UI,0.5,under 0.4 seconds,false,"Cancel. Create a short cancel sound for a cozy forest puzzle game, soft downward wooden click with a gentle muted pop, friendly and calm, not negative or harsh, no music, under 0.4 seconds.",todo,"Original requested under 0.4 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
007,tile_select,Tile select,Board interaction,Board_Interaction,0.5,under 0.25 seconds,false,"Tile select. Create a very short tile selection sound for a cozy match-3 forest puzzle game, soft rounded pop with a tiny sparkle, satisfying but subtle, no music, no vocals, under 0.25 seconds.",todo,"Original requested under 0.25 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
008,tile_deselect,Tile deselect,Board interaction,Board_Interaction,0.5,under 0.25 seconds,false,"Tile deselect. Create a very short tile deselect sound for a cozy match-3 forest puzzle game, soft reverse pop with a tiny gentle click, clean and subtle, no music, no vocals, under 0.25 seconds.",todo,"Original requested under 0.25 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
009,tile_swap,Tile swap,Board interaction,Board_Interaction,0.5,under 0.4 seconds,false,"Tile swap. Create a short tile swap sound for a match-3 mobile game, gentle swipe with two soft rounded clicks, cozy forest style, polished and light, no harsh motion, under 0.4 seconds.",todo,"Original requested under 0.4 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
010,valid_tile_swap,Valid tile swap,Board interaction,Board_Interaction,0.5,under 0.4 seconds,false,"Valid tile swap. Create a short valid tile swap sound for a cozy match-3 game, soft swipe with satisfying double pop and tiny sparkle, warm and polished, under 0.4 seconds.",todo,"Original requested under 0.4 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
